GEOID,NAME,variable,estimate,moe,year
2441475,"Ilchester CDP, Maryland",population,27513,1312,2021
2441500,"Indian Head town, Maryland",population,3909,22,2021
2441700,"Indian Springs CDP, Maryland",population,16,26,2021
2442325,"Jarrettsville CDP, Maryland",population,2751,430,2021
2442350,"Jefferson CDP, Maryland",population,2556,344,2021
2442450,"Jennings CDP, Maryland",population,108,98,2021
2442550,"Jessup CDP, Maryland",population,10516,1144,2021
2442575,"Jesterville CDP, Maryland",population,217,195,2021
2442875,"Joppatowne CDP, Maryland",population,12992,1066,2021
2442950,"Jugtown CDP, Maryland",population,131,86,2021
2443100,"Keedysville town, Maryland",population,1126,243,2021
2443200,"Kemp Mill CDP, Maryland",population,14509,1352,2021
2443280,"Kemps Mill CDP, Maryland",population,0,13,2021
2443475,"Kennedyville CDP, Maryland",population,311,273,2021
2443500,"Kensington town, Maryland",population,2336,331,2021
2443725,"Kent Narrows CDP, Maryland",population,509,119,2021
2443900,"Kettering CDP, Maryland",population,13924,1176,2021
2444325,"Kingstown CDP, Maryland",population,1745,478,2021
2444350,"Kingsville CDP, Maryland",population,4681,450,2021
2444450,"Kitzmiller town, Maryland",population,229,60,2021
2444525,"Klondike CDP, Maryland",population,162,196,2021
2444715,"Konterra CDP, Maryland",population,2231,498,2021
2444817,"Lake Arbor CDP, Maryland",population,14376,1578,2021
2444975,"Lake Shore CDP, Maryland",population,19388,1226,2021
2445325,"Landover CDP, Maryland",population,24508,1722,2021
2445400,"Landover Hills town, Maryland",population,2075,382,2021
2445525,"Langley Park CDP, Maryland",population,20769,1700,2021
2445550,"Lanham CDP, Maryland",population,11460,1432,2021
2445650,"Lansdowne CDP, Maryland",population,9310,1022,2021
2445750,"La Plata town, Maryland",population,10054,38,2021
2445825,"Largo CDP, Maryland",population,12003,1703,2021
2445900,"Laurel city, Maryland",population,29438,68,2021
2446075,"La Vale CDP, Maryland",population,4388,400,2021
2446150,"Layhill CDP, Maryland",population,5119,689,2021
2446250,"Laytonsville town, Maryland",population,580,100,2021
2446375,"Leisure World CDP, Maryland",population,9291,790,2021
2446400,"Leitersburg CDP, Maryland",population,358,145,2021
2446475,"Leonardtown town, Maryland",population,4445,21,2021
2446650,"Lewistown CDP, Maryland",population,252,93,2021
2446725,"Lexington Park CDP, Maryland",population,12681,1177,2021
2446800,"Libertytown CDP, Maryland",population,843,254,2021
2447040,"Linganore CDP, Maryland",population,10959,908,2021
2447125,"Linthicum CDP, Maryland",population,10270,1017,2021
2447250,"Lisbon CDP, Maryland",population,35,84,2021
2447275,"Little Orleans CDP, Maryland",population,48,47,2021
2447450,"Lochearn CDP, Maryland",population,26995,1579,2021
2447525,"Loch Lynn Heights town, Maryland",population,449,146,2021
2447875,"Lonaconing town, Maryland",population,1160,237,2021
2448025,"Long Beach CDP, Maryland",population,2126,481,2021
2448775,"Luke town, Maryland",population,71,41,2021
2448800,"Lusby CDP, Maryland",population,2457,753,2021
2448875,"Lutherville CDP, Maryland",population,6755,782,2021
2449325,"McCoole CDP, Maryland",population,439,164,2021
2449700,"Madison CDP, Maryland",population,145,67,2021
2449950,"Manchester town, Maryland",population,5350,33,2021
2450375,"Mapleville CDP, Maryland",population,252,227,2021
2450525,"Mardela Springs town, Maryland",population,480,175,2021
2450680,"Marlboro Meadows CDP, Maryland",population,3773,549,2021
2450685,"Marlboro Village CDP, Maryland",population,9786,1061,2021
2450750,"Marlow Heights CDP, Maryland",population,5913,646,2021
2450775,"Marlton CDP, Maryland",population,10153,1221,2021
2450965,"Martin's Additions village, Maryland",population,1045,173,2021
2451025,"Marydel town, Maryland",population,191,97,2021
2451075,"Maryland City CDP, Maryland",population,18059,1636,2021
2451125,"Maryland Park CDP, Maryland",population,646,314,2021
2451425,"Maugansville CDP, Maryland",population,2549,361,2021
2451575,"Mayo CDP, Maryland",population,8197,977,2021
2451587,"Mays Chapel CDP, Maryland",population,12428,1106,2021
2451800,"Mechanicsville CDP, Maryland",population,1857,458,2021
2451940,"Melwood CDP, Maryland",population,3935,618,2021
2451945,"Mercersville CDP, Maryland",population,240,179,2021
2452225,"Middleburg CDP, Maryland",population,0,13,2021
2452300,"Middle River CDP, Maryland",population,30606,1894,2021
2452425,"Middletown town, Maryland",population,4893,21,2021
2452475,"Midland town, Maryland",population,665,159,2021
2452525,"Midlothian CDP, Maryland",population,367,175,2021
2452562,"Milford Mill CDP, Maryland",population,30685,2008,2021
2452825,"Millington town, Maryland",population,680,177,2021
2452975,"Mitchellville CDP, Maryland",population,12160,1127,2021
2453100,"Monrovia CDP, Maryland",population,2306,637,2021
2453325,"Montgomery Village CDP, Maryland",population,34489,2205,2021
2453625,"Morningside town, Maryland",population,1119,256,2021
2453700,"Moscow CDP, Maryland",population,302,191,2021
2453750,"Mount Aetna CDP, Maryland",population,579,208,2021
2453800,"Mountain Lake Park town, Maryland",population,2116,339,2021
2453875,"Mount Airy town, Maryland",population,9621,47,2021
2453925,"Mount Briar CDP, Maryland",population,150,148,2021
2454125,"Mount Lena CDP, Maryland",population,375,218,2021
2454275,"Mount Rainier city, Maryland",population,8290,23,2021
2454325,"Mount Savage CDP, Maryland",population,639,190,2021
2454375,"Mount Vernon CDP, Maryland",population,1067,332,2021
2454875,"Myersville town, Maryland",population,2427,562,2021
2454925,"Nanticoke CDP, Maryland",population,359,299,2021
2454930,"Nanticoke Acres CDP, Maryland",population,32,29,2021
2455000,"National CDP, Maryland",population,83,98,2021
2455018,"National Harbor CDP, Maryland",population,4355,676,2021
2455050,"Naval Academy CDP, Maryland",population,4729,2617,2021
2455325,"Newark CDP, Maryland",population,402,190,2021
2455400,"New Carrollton city, Maryland",population,13574,34,2021
2455650,"New Market town, Maryland",population,1598,302,2021
2455925,"New Windsor town, Maryland",population,1267,228,2021
2455950,"Nikep CDP, Maryland",population,0,13,2021
2456300,"North Beach town, Maryland",population,2611,487,2021
2456337,"North Bethesda CDP, Maryland",population,50695,2258,2021
2456375,"North Brentwood town, Maryland",population,734,145,2021
2456400,"North Chevy Chase village, Maryland",population,587,110,2021
2456450,"North East town, Maryland",population,4015,23,2021
2456712,"North Kensington CDP, Maryland",population,8771,815,2021
2456725,"North Laurel CDP, Maryland",population,24233,1686,2021
2456875,"North Potomac CDP, Maryland",population,24449,1238,2021
2457650,"Oakland town, Maryland",population,2187,430,2021
2458215,"Ocean CDP, Maryland",population,0,13,2021
2458225,"Ocean City town, Maryland",population,6869,17,2021
2458275,"Ocean Pines CDP, Maryland",population,12266,616,2021
2458300,"Odenton CDP, Maryland",population,43488,2512,2021
2458775,"Oldtown CDP, Maryland",population,67,46,2021
2458900,"Olney CDP, Maryland",population,35815,1588,2021
