ncaa_id,TeamFull,Conference
450,Mount St. Mary's Mountaineers Women's,MAAC WBB
454,Murray State Racers Women's,MVC WBB
726,Navy Midshipmen Women's,Patriot WBB
490,NC State Wolfpack Women's,ACC WBB
463,Nebraska Cornhuskers Women's,Big Ten WBB
466,Nevada Wolf Pack Women's,MWC WBB
469,New Hampshire Wildcats Women's,AEC WBB
473,New Mexico Lobos Women's,MWC WBB
472,New Mexico State Aggies Women's,CUSA WBB
474,New Orleans Privateers Women's,Southland WBB
482,Niagara Purple Eagles Women's,MAAC WBB
483,Nicholls State Colonels Women's,Southland WBB
485,Norfolk State Spartans Women's,MEAC WBB
487,North Alabama Lions Women's,A-Sun WBB
457,UNC Tar Heels Women's,ACC WBB
489,North Carolina Central Eagles Women's,MEAC WBB
494,North Dakota Fighting Hawks Women's,Summit WBB
493,North Dakota State Bison Women's,Summit WBB
2711,North Florida Ospreys Women's,A-Sun WBB
497,North Texas Mean Green Women's,AAC WBB
500,Northeastern Huskies Women's,CAA WBB
501,Northern Arizona Lumberjacks Women's,Big Sky WBB
502,Northern Colorado Bears Women's,Big Sky WBB
503,Northern Illinois Huskies Women's,MAC WBB
504,Northern Iowa Panthers Women's,MVC WBB
505,Northern Kentucky Norse Women's,Horizon WBB
509,Northwestern Wildcats Women's,Big Ten WBB
508,Northwestern State Demons Women's,Southland WBB
513,Notre Dame Fighting Irish Women's,ACC WBB
514,Oakland Golden Grizzlies Women's,Horizon WBB
519,Ohio Bobcats Women's,MAC WBB
518,Ohio State Buckeyes Women's,Big Ten WBB
522,Oklahoma Sooners Women's,Big 12 WBB
521,Oklahoma State Cowboys Women's,Big 12 WBB
523,Old Dominion Monarchs Women's,Sun Belt WBB
464,Omaha Mavericks Women's,Summit WBB
527,Oral Roberts Golden Eagles Women's,Summit WBB
529,Oregon Ducks Women's,Pac-12 WBB
528,Oregon State Beavers Women's,Pac-12 WBB
539,Penn State Nittany Lions Women's,Big Ten WBB
540,Penn Quakers Women's,Ivy WBB
541,Pepperdine Waves Women's,WCC WBB
545,Pitt Panthers Women's,ACC WBB
551,Portland Pilots Women's,WCC WBB
550,Portland State Vikings Women's,Big Sky WBB
554,Princeton Tigers Women's,Ivy WBB
556,Providence Friars Women's,Big East WBB
559,Purdue Boilermakers Women's,Big Ten WBB
11504,Queens (NC) Royals Women's,A-Sun WBB
562,Quinnipiac Bobcats Women's,MAAC WBB
563,Radford Highlanders Women's,Big South WBB
572,Rhode Island Rams Women's,A-10 WBB
574,Rice Owls Women's,AAC WBB
575,Richmond Spiders Women's,A-10 WBB
576,Rider Broncs Women's,MAAC WBB
579,Robert Morris Colonials Women's,Horizon WBB
587,Rutgers Scarlet Knights Women's,Big Ten WBB
102,Sacramento State Hornets Women's,Big Sky WBB
590,Sacred Heart Pioneers Women's,NEC WBB
600,Saint Francis (PA) Red Flash Women's,NEC WBB
609,Saint Louis Billikens Women's,A-10 WBB
610,Saint Mary's Gaels Women's,WCC WBB
617,St. Peter's Peacocks Women's,MAAC WBB
625,Samford Bulldogs Women's,Southern WBB
627,San Diego Toreros Women's,WCC WBB
626,San Diego State Aztecs Women's,MWC WBB
629,San Francisco Dons Women's,WCC WBB
630,San Jose State Spartans Women's,MWC WBB
631,Santa Clara Broncos Women's,WCC WBB
1356,Seattle Redhawks Women's,WAC WBB
